id,reading,writing,reason,suggested_reading,suggested_writing,note
n2_0246,ばしゅう,募集,source_reading_looks_like_ocr_typo,ぼしゅう,募集,Correcting reading may affect generated IDs; migrate intentionally.
n2_0248,かいせっ,解説,source_reading_looks_incomplete,かいせつ,解説,Correcting reading may affect generated IDs; migrate intentionally.
n2_0269,しょうはい,騰敗,source_writing_looks_like_ocr_typo,しょうはい,勝敗,Meaning/example use 勝敗.
n2_0274,にゅゆうじょう,入場,source_reading_looks_like_ocr_typo_and_duplicates_n2_0195_if_fixed,にゅうじょう,入場,Fixing this will likely remove duplicate and shift later generated IDs.
n2_0286,のうぅ,能,source_reading_looks_like_ocr_typo,のう,能,Meaning/example use 能.
n2_0298,じゃんけん,じゃん湖,source_writing_looks_like_ocr_typo,じゃんけん,じゃんけん,Meaning/example use じゃんけん.
n2_0302,なでぞなぞ,謎々,source_reading_looks_like_ocr_typo,なぞなぞ,謎々,Meaning/example use なぞなぞ.
n2_0325,テンボ,テンボ,source_katakana_looks_like_ocr_typo,テンポ,テンポ,Meaning/example use テンポ.
n2_0386,ようせき,容策,source_writing_looks_like_ocr_typo,ようせき,容積,Meaning/example use 容積.
n2_0218,めんきょ,免許,duplicate_lower_level,めんきょ,免許,Already present as N3 n3_0897.
n2_egg_0975,ブランド,ブランド,duplicate_lower_level,ブランド,ブランド,Already present as N3 n3_1212.
n2_egg_1660,じゅぎょうりょう,授業料,duplicate_lower_level,じゅぎょうりょう,授業料,Already present as N3 n3_1233.
n2_0091,しょうりゃく,省略,duplicate_lower_level,しょうりゃく,省略,Already present as N3 n3_1343.
n2_egg_1659,ひょうろん,評論,duplicate_lower_level,ひょうろん,評論,Already present as N3 n3_1398.
n2_egg_0619,かいてき,快適,duplicate_lower_level,かいてき,快適,Already present as N3 n3_1511.
n2_egg_0932,おかず,おかず,duplicate_lower_level,おかず,おかず,Already present as N3 n3_1559.
n2_egg_1497,けいと,毛糸,duplicate_lower_level,けいと,毛糸,Already present as N3 n3_1613.
n2_egg_1146,いばる,威張る,duplicate_lower_level,いばる,威張る,Already present as N3 n3_1823.
n2_egg_0692,けんそん,謙遜,duplicate_lower_level,けんそん,謙遜,Already present as N3 n3_1832.
n2_egg_1100,ちょうしょ,長所,duplicate_lower_level,ちょうしょ,長所,Already present as N3 n3_1843.
n2_egg_0136,きょうりょく,強力,duplicate_lower_level,きょうりょく,強力,Already present as N3 n3_1863.
n2_egg_1278,さび,錆,duplicate_lower_level,さび,錆,Already present as N3 n3_1982.
n2_egg_1652,なんきょく,南極,duplicate_lower_level,なんきょく,南極,Already present as N3 n3_2152.
n2_egg_1183,りょうたん,両端,duplicate_lower_level,りょうたん,両端,Already present as N3 n3_2186.
