id,example_ja,example_zh
n5_0001,毎朝、バスで学校へ行きます。,每天早上搭公車去學校。
n5_0002,夕ご飯の後でテレビを見ます。,晚餐後看電視。
n5_0003,朝ご飯にパンを食べます。,早餐吃麵包。
n5_0004,このペンで名前を書いてください。,請用這枝筆寫名字。
n5_0005,コップに水を入れます。,把水倒進杯子裡。
n5_0006,明日は日本語のテストがあります。,明天有日文考試。
n5_0007,ポストに手紙を入れました。,我把信投進郵筒了。
n5_0008,新しいカメラで写真を撮ります。,用新相機拍照。
n5_0009,白いシャツを着ています。,穿著白色襯衫。
n5_0010,駅の近くにレストランがあります。,車站附近有餐廳。
n5_0011,学校で日本語を勉強します。,在學校學日文。
n5_0012,ちょっと待ってください。,請等一下。
n5_0013,今日はいい天気です。,今天天氣很好。
n5_0014,明日、友達に会います。,明天要見朋友。
n5_0015,昨日、映画を見ました。,昨天看了電影。
n5_0016,朝、七時に起きます。,早上七點起床。
n5_0017,昼にうどんを食べました。,中午吃了烏龍麵。
n5_0018,夜、母に電話します。,晚上打電話給媽媽。
n5_0019,今、何時ですか。,現在幾點？
n5_0020,ご飯の後で勉強します。,吃完飯之後讀書。
n5_0021,駅の前で待っています。,我正在車站前面等。
n5_0022,机の上に本があります。,桌上有書。
n5_0023,いすの下にかばんがあります。,椅子下面有包包。
n5_0024,かばんの中に財布があります。,包包裡有錢包。
n5_0025,外は寒いです。,外面很冷。
n5_0026,右へ曲がってください。,請往右轉。
n5_0027,銀行は左にあります。,銀行在左邊。
n5_0028,あの人は先生です。,那個人是老師。
n5_0029,公園で子供が遊んでいます。,小孩正在公園玩。
n5_0030,友達と映画を見ます。,和朋友看電影。
n5_0031,先生に質問します。,問老師問題。
n5_0032,私は日本語の学生です。,我是日文學生。
n5_0033,父は会社で働いています。,爸爸在公司工作。
n5_0034,毎朝、電車に乗ります。,每天早上搭電車。
n5_0035,車でスーパーへ行きます。,開車去超市。
n5_0036,自転車で学校へ行きます。,騎腳踏車去學校。
n5_0037,駅で友達を待ちます。,在車站等朋友。
n5_0038,この店でパンを買います。,在這家店買麵包。
n5_0039,部屋で宿題をします。,在房間做作業。
n5_0040,家で晩ご飯を食べます。,在家吃晚餐。
n5_0041,新しい本を読みます。,讀新書。
n5_0042,机の上を片づけます。,收拾書桌。
n5_0043,いすに座ってください。,請坐在椅子上。
n5_0044,時計を見てください。,請看時鐘。
n5_0045,かばんに本を入れます。,把書放進包包。
n5_0046,雨ですから、傘を持って行きます。,因為下雨，所以帶傘去。
n5_0047,新しい靴を買いました。,買了新鞋子。
n5_0048,今日は黒い服を着ます。,今天穿黑色衣服。
n5_0049,水を飲みます。,喝水。
n5_0050,熱いお茶を飲みます。,喝熱茶。
n5_0051,朝ご飯を食べましたか。,你吃早餐了嗎？
n5_0052,魚が好きです。,喜歡魚。
n5_0053,肉を食べません。,不吃肉。
n5_0054,野菜をたくさん食べます。,吃很多蔬菜。
n5_0055,果物を買いに行きます。,去買水果。
n5_0056,朝ご飯に卵を食べます。,早餐吃蛋。
n5_0057,雨が降っています。,正在下雨。
n5_0058,昨日、雪が降りました。,昨天下雪了。
n5_0059,今日は風が強いです。,今天風很大。
n5_0060,空が青いです。,天空很藍。
n5_0061,山に登ります。,爬山。
n5_0062,川の近くを歩きます。,在河邊附近散步。
n5_0063,夏に海へ行きます。,夏天去海邊。
n5_0064,庭に花があります。,庭院裡有花。
n5_0065,猫がいすの下にいます。,貓在椅子下面。
n5_0066,犬と散歩します。,和狗散步。
n5_0067,木の上に鳥がいます。,樹上有鳥。
n5_0068,赤い花を買いました。,買了紅色的花。
n5_0069,青いシャツを着ています。,穿著藍色襯衫。
n5_0070,白い紙に名前を書きます。,在白紙上寫名字。
n5_0071,黒い靴を履いています。,穿著黑色鞋子。
n5_0072,大きいかばんがほしいです。,想要大的包包。
n5_0073,小さい部屋で勉強します。,在小房間讀書。
n5_0074,新しい本を読みます。,讀新書。
n5_0075,古い写真を見ました。,看了舊照片。
n5_0076,この時計は高いです。,這支手錶很貴。
n5_0077,安いパンを買いました。,買了便宜的麵包。
n5_0078,このケーキはおいしいです。,這個蛋糕很好吃。
n5_0079,今日は暑いです。,今天很熱。
n5_0080,冬の朝は寒いです。,冬天早上很冷。
n5_0081,学校へ行きます。,去學校。
n5_0082,友達が家に来ます。,朋友會來家裡。
n5_0083,午後六時に家へ帰ります。,下午六點回家。
n5_0084,朝ご飯を食べます。,吃早餐。
n5_0085,水を飲みます。,喝水。
n5_0086,映画を見ます。,看電影。
n5_0087,音楽を聞きます。,聽音樂。
n5_0088,本を読みます。,讀書。
n5_0089,名前を書きます。,寫名字。
n5_0090,友達と日本語で話します。,和朋友用日文說話。
n5_0091,パンを買います。,買麵包。
n5_0092,駅で友達を待ちます。,在車站等朋友。
n5_0093,駅まで歩きます。,走到車站。
n5_0094,プールで泳ぎます。,在游泳池游泳。
n5_0095,十一時に寝ます。,十一點睡覺。
n5_0096,朝七時に起きます。,早上七點起床。
n5_0097,晩ご飯を作ります。,做晚餐。
n5_0098,パソコンを使います。,使用電腦。
n5_0099,毎晩、日本語を勉強します。,每天晚上學日文。
n5_0100,宿題をします。,做作業。
n5_0101,母は台所で料理をします。,媽媽在廚房做菜。
n5_0102,病院へ行きます。,去醫院。
n5_0103,銀行は駅の近くです。,銀行在車站附近。
n5_0104,郵便局で切手を買います。,在郵局買郵票。
n5_0105,図書館で本を読みます。,在圖書館看書。
n5_0106,週末に映画を見ます。,週末看電影。
n5_0107,写真を撮ります。,拍照。
n5_0108,友達に電話します。,打電話給朋友。
n5_0109,私は学生です。,我是學生。
n5_0110,私たちは台湾から来ました。,我們從台灣來。
n5_0111,あなたの名前は何ですか。,你的名字是什麼？
n5_0112,この本を読みます。,讀這本書。
n5_0113,そのかばんはあなたのですか。,那個包包是你的嗎？
n5_0114,あの人は誰ですか。,那個人是誰？
n5_0115,どの本が好きですか。,你喜歡哪一本書？
n5_0116,これは私の本です。,這是我的書。
n5_0117,それは何ですか。,那是什麼？
n5_0118,あれは駅です。,那邊那個是車站。
n5_0119,どれがあなたの傘ですか。,哪一把是你的傘？
n5_0120,ここは教室です。,這裡是教室。
n5_0121,そこに座ってください。,請坐在那裡。
n5_0122,あそこに銀行があります。,那邊有銀行。
n5_0123,トイレはどこですか。,廁所在哪裡？
n5_0124,こちらへどうぞ。,請到這邊。
n5_0125,そちらに座ってください。,請坐在那邊。
n5_0126,あちらに駅があります。,那邊有車站。
n5_0127,どちらへ行きますか。,要去哪邊？
n5_0128,あの人は誰ですか。,那個人是誰？
n5_0129,これは何ですか。,這是什麼？
n5_0130,今、何時ですか。,現在幾點？
n5_0131,あの方はどなたですか。,那位是誰？
n5_0132,みんなで昼ご飯を食べます。,大家一起吃午餐。
n5_0133,皆さん、おはようございます。,各位早安。
n5_0134,自分の名前を書いてください。,請寫自己的名字。
n5_0135,毎日、学校へ行きます。,每天去學校。
n5_0136,毎朝、コーヒーを飲みます。,每天早上喝咖啡。
n5_0137,毎晩、日本語を勉強します。,每天晚上學日文。
n5_0138,毎週、図書館へ行きます。,每週去圖書館。
n5_0139,先週、京都へ行きました。,上週去了京都。
n5_0140,今週は忙しいです。,這週很忙。
