id,example_ja,example_zh
n2_0001,説明が曖昧で、何をすればいいのか分かりません。,說明很模糊，我不知道該做什麼。
n2_0002,彼の説明には明らかな間違いがあります。,他的說明裡有明顯的錯誤。
n2_0003,新しい商品は性能で他社を圧倒しました。,新產品在性能上遠勝其他公司。
n2_0004,機械に異常が見つかったので、すぐ止めました。,因為發現機器異常，所以立刻停下來。
n2_0005,売上は伸びた一方で、費用も増えました。,業績成長了，另一方面費用也增加了。
n2_0006,資料の確認を先輩に依頼しました。,我請前輩幫忙確認資料。
n2_0007,このサイトは小さなチームで運営しています。,這個網站由一個小團隊營運。
n2_0009,興味のある会社に応募しました。,我應徵了有興趣的公司。
n2_0010,祖母を介護するために、実家へ戻りました。,為了照顧祖母，我回到老家。
n2_0011,来月、駅前で音楽イベントが開催されます。,下個月車站前會舉辦音樂活動。
n2_0013,彼女は努力して奨学金を獲得しました。,她努力取得了獎學金。
n2_0014,過剰な期待は相手の負担になります。,過度的期待會成為對方的負擔。
n2_0015,午後から雨が降る可能性があります。,下午有下雨的可能。
n2_0016,個人情報は厳しく管理してください。,請嚴格管理個人資料。
n2_0017,新しい制度に大きな効果を期待しています。,我期待新制度能帶來很大的效果。
n2_0018,この会社は年々規模を拡大しています。,這家公司規模逐年擴大。
n2_0019,工場は全国に部品を供給しています。,工廠向全國供應零件。
n2_0021,最近は現金を使わない人が増える傾向にあります。,最近不用現金的人有增加的趨勢。
n2_0022,提案の内容をもう一度検討します。,我們會再研議一次提案內容。
n2_0023,この資料は三つの章で構成されています。,這份資料由三個章節組成。
n2_0024,作業の効率を上げる方法を考えましょう。,我們來想想提升作業效率的方法吧。
n2_0025,会社は来年、新しい社員を雇用する予定です。,公司預計明年聘僱新員工。
n2_0026,会議で彼の意見が採用されました。,會議上採納了他的意見。
n2_0027,電気代を削減するために、照明を替えました。,為了削減電費，我們換了照明設備。
n2_0028,会社から交通費が支給されます。,公司會發放交通費。
n2_0029,限りある資源を大切に使う必要があります。,有限的資源必須珍惜使用。
n2_0030,海外市場に向けて新商品を販売します。,將面向海外市場販售新產品。
n2_0031,アンケートは来週実施します。,問卷調查會在下週實施。
n2_0032,夏は冷たい飲み物の需要が高まります。,夏天冰涼飲料的需求會增加。
n2_0033,このデータは仮説が正しいことを証明しています。,這份資料證明了假設是正確的。
n2_0034,原材料の価格が急に上昇しました。,原料價格突然上升了。
n2_0035,市は自転車通勤を推進しています。,市政府正在推動自行車通勤。
n2_0036,混雑を避けるため、入場人数を制限します。,為了避免擁擠，將限制入場人數。
n2_0038,進学以外にもいろいろな選択肢があります。,除了升學以外，也有各種選擇。
n2_0039,大きな組織では情報共有が重要です。,在大型組織中，資訊共享很重要。
n2_0040,この割引は学生を対象にしています。,這項優惠以學生為對象。
n2_0041,チーム全員で今年の目標を達成しました。,全隊一起達成了今年的目標。
n2_0043,予定が合わないので、時間を調整します。,因為時間對不上，所以會調整時間。
n2_0044,新しい料金は来月から適用されます。,新的費率會從下個月起適用。
n2_0045,将来のために教育へ投資する会社が増えています。,為了未來，投資教育的公司正在增加。
n2_0046,店は新しい予約システムを導入しました。,店家導入了新的預約系統。
n2_0047,利用者の意見を次の計画に反映します。,會把使用者的意見反映到下一個計畫。
n2_0048,自分の考えを言葉で表現するのは難しいです。,用語言表達自己的想法很難。
n2_0049,スマートフォンは短い期間で普及しました。,智慧型手機在短時間內普及了。
n2_0050,売上データを分析して原因を探します。,會分析業績資料來找原因。
n2_0051,会議の時間を午後三時に変更しました。,會議時間改成下午三點了。
n2_0052,この製品は一年間保証されています。,這項產品保固一年。
n2_0053,予算の見直しが必要です。,有必要重新檢視預算。
n2_0054,安全を何よりも優先してください。,請把安全放在最優先。
n2_0055,相手の要求をすべて受け入れる必要はありません。,沒有必要接受對方所有要求。
n2_0056,理論だけでなく、実際に試すことも大切です。,不只理論，實際嘗試也很重要。
n2_0057,彼は反対されると分かっていて、あえて意見を言いました。,他明知道會被反對，仍特地說出意見。
n2_0058,これはあくまで個人の意見です。,這終究只是個人意見。
n2_0059,資料の数字に誤りがありました。,資料裡的數字有錯誤。
n2_0060,電話、あるいはメールで連絡してください。,請用電話或電子郵件聯絡。
n2_0061,合図とともに、全員が一斉に走り出しました。,信號一響，所有人同時跑了出去。
n2_0062,彼はこのチームの、いわば心臓のような存在です。,他可以說是這個團隊像心臟一樣的存在。
n2_0063,急な知らせで家族を驚かせてしまいました。,突然的消息讓家人嚇了一跳。
n2_0064,この文章は人によって解釈が違います。,這段文章會因人而有不同解釋。
n2_0065,急いだせいで、かえって時間がかかりました。,因為太急，反而花了更多時間。
n2_0066,彼女は通訳と案内役を兼ねています。,她同時兼任口譯和導覽。
n2_0067,二人は長い時間をかけて信頼関係を築きました。,兩人花了很長時間建立信任關係。
n2_0068,申込書に住所と名前を記入してください。,請在申請書上填寫地址和姓名。
n2_0069,被災地のために少し寄付しました。,我為災區捐了一點錢。
n2_0070,気温が急激に下がったので、上着を着ました。,氣溫急遽下降，所以我穿上外套。
n2_0071,駅前に巨大なビルが建ちました。,車站前蓋起了一棟巨大的大樓。
n2_0072,この問題はきわめて重要です。,這個問題極其重要。
n2_0073,子どものころ、よく未来の町を空想しました。,小時候，我常幻想未來的城市。
n2_0074,長い文章を三つの部分に区切りました。,我把長文章分成三個部分。
n2_0075,説明書を見ながら棚を組み立てました。,我一邊看說明書一邊組裝架子。
n2_0076,手術後の経過は順調です。,手術後的恢復進展很順利。
n2_0077,いろいろ迷いましたが、結局いつもの店に行きました。,猶豫了很久，結果還是去了平常那家店。
n2_0078,一日に働ける時間には限度があります。,一天能工作的時間是有限度的。
