id,example_ja,example_zh
n3_0001,彼は子どもに深い愛情を持っています。,他對孩子有深厚的愛。
n3_0003,試験中は時間を意識してください。,考試時請留意時間。
n3_0004,週末に新しい事務所へ移動します。,週末會搬到新的辦公室。
n3_0005,彼女の第一印象はとても明るかったです。,她給人的第一印象很開朗。
n3_0006,台風の影響で電車が止まりました。,因為颱風的影響電車停駛了。
n3_0008,友達の試合を大きな声で応援しました。,我大聲替朋友的比賽加油。
n3_0009,川の汚染が大きな問題になっています。,河川污染已經成為嚴重問題。
n3_0010,みんなで話し合って問題を解決しました。,大家一起討論後把問題解決了。
n3_0011,作業の手順を少し改善しました。,我稍微改善了作業流程。
n3_0012,出発前に予約内容を確認してください。,出發前請確認預約內容。
n3_0013,この町は自然環境を大切にしています。,這個城鎮很重視自然環境。
n3_0015,先生に手伝ってもらったことを感謝しています。,我很感謝老師幫忙。
n3_0016,レポートは昨日ようやく完成しました。,報告昨天終於完成了。
n3_0017,多くの企業が新しい技術を導入しています。,許多企業正在導入新技術。
n3_0018,この基準に合わせて資料を作ってください。,請依照這個基準製作資料。
n3_0019,チーム全員が協力してイベントを準備しました。,全隊一起合作準備活動。
n3_0020,この部屋での喫煙は禁止されています。,這個房間禁止吸菸。
n3_0022,新しい部屋の契約を来週行います。,下週會簽新房間的契約。
n3_0024,薬の効果はすぐには出ませんでした。,藥效沒有馬上出現。
n3_0027,会議で使う資料を作成しました。,我製作了會議要用的資料。
n3_0028,来月の研修に参加する予定です。,我預計參加下個月的研習。
n3_0029,会社は被災地の復旧を支援しています。,公司正在支援災區復原。
n3_0030,理科の授業で簡単な実験をしました。,理科課做了簡單的實驗。
n3_0031,この書類はとても重要です。,這份文件非常重要。
n3_0032,今の状況を正確に説明してください。,請正確說明現在的狀況。
n3_0034,申請にはこの書類が必要です。,申請需要這份文件。
n3_0035,人手不足は深刻な問題です。,人力不足是嚴重問題。
n3_0037,新しい計画は大きく成功しました。,新的計畫大獲成功。
n3_0039,会社の制度をよく理解しておきましょう。,我們先好好了解公司的制度吧。
n3_0040,この仕事には大きな責任があります。,這份工作有很大的責任。
n3_0042,十年後の生活を想像してみました。,我試著想像十年後的生活。
n3_0043,その町には古い寺がまだ存在しています。,那個城鎮裡還存在著古老的寺廟。
n3_0044,急な変更にも落ち着いて対応しました。,我也冷靜處理了臨時變更。
n3_0045,彼の態度は最後まで丁寧でした。,他的態度到最後都很有禮貌。
n3_0046,私は今月から受付を担当します。,我從這個月開始負責櫃台。
n3_0047,事故の原因を詳しく調査しています。,正在詳細調查事故原因。
n3_0048,毎朝一時間かけて通勤しています。,我每天早上花一小時通勤。
n3_0049,会議で新しい方法を提案しました。,我在會議上提出了新方法。
n3_0050,どの程度まで準備すればいいですか。,要準備到什麼程度才好呢。
n3_0051,このカメラの特徴を説明します。,我來說明這台相機的特色。
n3_0052,毎日少しずつ努力することが大切です。,每天一點一點努力很重要。
