level,page,column,entry_no,headword,bracket,ocr_context
N1,527,left,01,あいま,合間,01 | あいま【合間】 / 名 (事物中間的)空隙・ 空聞時間 : 鱗暇 / しごこと あいま しょ5うせつ か
N1,527,left,02,アワー,hour,02 | アワー【hour】 / 各.仁) 時間 : 小時 / ラッシュ・アワー。
N1,527,left,03,いっきに,一気に,03 |いっきに【一気に】 / 便) 一口氣地 / いっ き    の    ほ
N1,527,left,04,いっこく,-刻,04 |いっこく【-刻】 / 嘱形動) 一刻 片刻 : 頑固 : 愛生気 / いっこく   はや   あ
N1,527,left,05,おくらす,遅らす,"05 | おくらす【遅らす】 / 和延遲,拖延;(時間)調慢,調回 / よ てい   おく"
N1,527,right,07,きっかり,,| o7 |きっかり / :           じ はん / : 遼きっかり 1時半。
N1,527,right,08,けいか,経過,"08 |けいか【経過】 / (時間的)經過,流逝,度過;過 / | 程,經過"
N1,527,right,09,ゴールデンタイム,(和) i golden +十 time,io9| ゴールデンタイム【(和) / i golden +十 time】 / | 創黃金時段(晚上7到 10 點)
N1,527,right,00,こうりつ,効率,| 0 |こうりつ【効率】 / i 人 效率 / :   こうりつ わる
N1,528,left,,さっきゅう・そうきゅう,早急,"| さっきゅう・そうきゅう【早急】 / 盡量快些趕快,趕緊     | 本 / に手配する                廬"
N1,528,left,03,じこくひよう,時刻表,3 |じこくひよう【時刻表】    | 詩 / 国電車の時刻表を検索する。          i 2 / 上后投葉電車時刻表 ・                1
N1,528,left,04,じさ,時差,4 |じさ【時差】                    | 詩 / (各地標準時間的)時差 ;錯開時間 ji.. / | 點時差(而身體疲倦等)。                1 大
N1,528,left,05,じっくり,,5 | じっくり                      | 器 / を 朝優地・仔細地・不慌不忙           1 ー / 内       かんが                         5
N1,528,right,,しろくじちゅう,四六時中,| しろくじちゅう【四六時中】 / 一天到晩一整天 : 経常始終 / しろくじち%う き
N1,528,right,,じんそく,迅速,| じんそく【迅速】 / 形動) 迅速 / じんそく   しょり
N1,528,right,,すぎ,過ぎ,|すぎ【過ぎ】 / 超過;過度
N1,528,right,,すばやい,素早い,"| すばやい【素早い】 / 身體的動作與頭腦的思考很快;迅 / ,和飛快"
N1,528,right,,すみやか,速やか,| すみやか【速やか】 / ヵ 做事敏捷的樣子'迅速 / すみ        こうどう
N1,529,left,24,スムーズ,smooth,"24 | スムーズ【smooth】 / 客.形動) 圓滑',順利;流暢 / |            はなし              すす"
N1,529,left,25,ずるずる,,25 | ずるずる / 副自 拖拉貌;滑溜;拖拖拉拉 / へん じ    の
N1,529,left,26,ずれ,,"26 | ずれ / 名) (位置・時間意見等)不一致 分岐 : / 偏離;背離,不吻合"
N1,529,left,27,せかす,急かす,27 | せかす【急かす】 / 再 催促 / し ごと
N1,529,left,28,せん,先,28 | せん【先】 / 名 先前 以前 先走的一方 / せんじゅうみん   けい い    はら
N1,529,left,29,そくざに,即座に,"29 | そくざに【即座に】 / 全 立即,馬上 / 守る 者   へんとう"
N1,529,left,30,そくする,即する,30 | そくする【即する】 / 528 |時候、時間、時刻 (2)
N1,529,right,31,タイト,tigh,| 31 |タイト【tigh / 緊・緊貼(身) : 緊身裙之略 / | 圏タイトなスケジュールが懸念される。
N1,529,right,32,タイマー,timer,"32 | タイマー 【timer】 / | @ 秒錶,計時器;定時器 / | 圏タイマーをセットする。."
N1,529,right,34,タイム,time,"34 |タイム【time】 / | る 時,時間 : 時代 時機 : (購)比費 / | 所需時間;(體)比賽暫停"
