reading,writing,declaredNormalizedReading,zh,script,source_page,source_column,source_entry_no,source_writing
あっというまに,あっという間に,あっというまに,一眨眼的功夫,kanji,143,left,02,あっという間に
おくれ,遅れ,おくれ,落後、遲延,kanji,143,left,05,遅れ
ぎりぎり,ぎりぎり,ぎりぎり,最大限度、極限,hiragana,143,right,00,ぎりぎり
こうはん,後半,こうはん,後半、後一半,kanji,143,right,07,後半
しょうご,正午,しょうご,正午、中午十二點,kanji,143,right,09,正午
しんや,深夜,しんや,深夜、很晚的夜裡,kanji,143,right,10,深夜
せいき,世紀,せいき,世紀、時代、年代,kanji,144,left,12,世紀
ぜんはん,前半,ぜんはん,前半、前半部,kanji,144,left,13,前半
そうちょう,早朝,そうちょう,早晨、清晨,kanji,144,left,14,早朝
ちこく,遅刻,ちこく,遲到,kanji,144,left,16,遅刻
どうじに,同時に,どうじに,同時、馬上,kanji,144,right,,同時に
とつぜん,突然,とつぜん,突然、出乎意料地,kanji,144,right,,突然
はじまり,始まり,はじまり,開始、開端、起源,kanji,144,right,,始まり
ふける,更ける,ふける,夜深,kanji,145,left,22,更ける
ぶり,振り,ぶり,相隔,kanji,145,left,23,振り
へる,経る,へる,經過、通,kanji,145,left,24,経る
まえもって,前もって,まえもって,預先、事先,kanji,145,left,26,前もって
まよなか,真夜中,まよなか,三更半夜、深夜,kanji,145,left,27,真夜中
やかん,夜間,やかん,夜間、晚上時段,kanji,145,left,28,夜間
いっさくねん,一昨年,いっさくねん,前年,kanji,145,right,02,一昨年
げじゅん,下旬,げじゅん,下旬、月底前十天,kanji,145,right,05,下旬
げつまつ,月末,げつまつ,月末、月底,kanji,146,left,oe,月末
さくねん,昨年,さくねん,去年,kanji,146,left,00,昨年
じつ,日,じつ,太陽、日、一天白天、毎天,kanji,146,left,19,日
しゅう,週,しゅう,週、星期、一圈,kanji,146,left,01,週
じょうじゅん,上旬,じょうじゅん,上旬、月初十天,kanji,146,right,,上旬
せんじつ,先日,せんじつ,前天、前些日子,kanji,146,right,04,先日
ぜんじつ,前日,ぜんじつ,前一天,kanji,146,right,,前日
ちゅうじゅん,中旬,ちゅうじゅん,中旬、每月中間十天,kanji,146,right,,中旬
ねんし,年始,ねんし,年初、賀年、寿年,kanji,146,right,,年始
ねんまつねんし,年末年始,ねんまつねんし,年底與新年,kanji,147,left,18,年末年始
へいじつ,平日,へいじつ,平日、平常,kanji,147,left,19,平日
ほんじつ,本日,ほんじつ,本日、今日,kanji,147,left,20,本日
ほんねん,本年,ほんねん,本年、今年,kanji,147,left,21,本年
みょう,明,みょう,更明,kanji,147,left,22,明
ようび,曜日,ようび,星期,kanji,147,right,24,曜日
よく,翌,よく,翌、隔天,kanji,147,right,25,翌
よくじつ,翌日,よくじつ,隔天、第二天,kanji,147,right,26,翌日
いご,以後,いご,以後、從此之後,kanji,147,right,ot,以後
いぜん,以前,いぜん,以前、更低階段的,kanji,147,right,02,以前
げんだい,現代,げんだい,現代、現在的時代,kanji,147,right,03,現代
こんご,今後,こんご,今後、從今以後,kanji,148,left,04,今後
じご,事後,じご,事後、事情發生之後,kanji,148,left,08,事後
ちょくご,直後,ちょくご,緊接著、剛...之後、之後不久,kanji,148,left,00,直後
ちょくぜん,直前,ちょくぜん,即將發生之前,kanji,148,right,,直前
みらい,未来,みらい,將來、未來、來世,kanji,148,right,,未来
シーズン,シーズン,しいずん,季節、時期,katakana,149,left,95,season
しめきり,締め切り,しめきり,截止、屆滿、封死、封閉、截斷、斷流,kanji,149,left,66,締め切り
まにあわせる,間に合わせる,まにあわせる,臨時湊合就將、使來得及、趕出來,kanji,149,right,08,間に合わせる
きたく,帰宅,きたく,回家,kanji,150,left,02,帰宅
くらす,暮らす,くらす,生活、度日,kanji,150,left,03,暮らす
じょう,晴,じょう,塊、得、重時,kanji,150,left,05,晴
すごす,過ごす,すごす,度、過生活、過、過量、放過、不管,kanji,150,right,06,過ごす
せいけつ,清潔,せいけつ,乾淨的、清潔的、廉潔、純潔,kanji,150,right,07,清潔
るすばん,留守番,るすばん,看家、看家人,kanji,150,right,o,留守番
わが,我が,わが,點我刻宗入、上皮記三,kanji,151,left,12,我が
とじる,閉じる,とじる,關閉、結束,kanji,151,left,01,閉じる
ノック,ノック,のっく,敲打、敲門、打球,katakana,151,left,02,knock
ベランダ,ベランダ,べらんだ,陽臺、走廊,katakana,151,left,03,veranda
やね,屋根,やね,屋頂,kanji,151,left,04,屋根
やぶる,破る,やぶる,弄破、違反、打敗,kanji,151,left,05,破る
ロック,ロック,ろっく,上鎖、鎖住,katakana,151,right,oe,lock
だんぼう,暖房,だんぼう,暖氣、暖房,kanji,151,right,01,暖房
かざり,飾り,かざり,裝飾,kanji,151,right,08,飾り
キッチン,キッチン,きっちん,廚房,katakana,151,right,05,kitchen
しんしつ,寝室,しんしつ,臥室、寢室,kanji,152,left,oe,寝室
せんめんじょ,洗面所,せんめんじょ,化妝室廁所色,kanji,152,left,07,洗面所
ダイニング,ダイニング,だいにんぐ,餐廳、用餐空間,katakana,152,left,08,dining
つまる,詰まる,つまる,擠滿、塞滿、堵塞、不通、罕困、上、窘迫、縮短、緊小、停頓、擱淺,kanji,152,left,10,詰まる
てんじょう,天井,てんじょう,天花板,kanji,152,left,11,天井
はしら,欄,はしら,柱子、支柱、靠山,kanji,152,left,12,欄
プラインド,プラインド,ぷらいんど,百葉窗、窗簾、遮光物,katakana,152,right,,blind
まどり,間取り,まどり,房間佈局、採間、平麵佈局,kanji,152,right,,間取り
もうふ,毛布,もうふ,毛毯、壬子,kanji,152,right,,毛布
ゆか,床,ゆか,地板,kanji,152,right,,床
よわめる,弱める,よわめる,減弱、削弱,kanji,152,right,,弱める
リビング,リビング,りびんぐ,客廳、起居室,katakana,152,right,,living
あぶら,脂,あぶら,脂肪、油脂、活動力、幹勁,kanji,153,left,01,脂
しょくご,食後,しょくご,飯後、食後,kanji,153,left,05,食後
しょくぜん,食前,しょくぜん,飯前,kanji,153,right,06,食前
すっぱい,酸っぱい,すっぱい,酸、酸的,kanji,153,right,07,酸っぱい
マナー,マナー,まなあ,禮貌、規矩、態度舉止、風格,katakana,153,right,08,manner
メニュー,メニュー,めにゅう,菜單,katakana,153,right,00,menu
ランチ,ランチ,らんち,午餐,katakana,153,right,00,Iunch
インスタント,インスタント,いんすたんと,即食、即溶,katakana,154,left,03,instant
オレンジ,オレンジ,おれんじ,急柳橙、柳丁、欄色,katakana,154,left,95,orange
ガム,ガム,がむ,口香糖,katakana,154,left,06,(英)gum
かゆ,紗,かゆ,粥、稀飯,kanji,154,right,,紗
ケチャップ,ケチャップ,けちゃっぷ,番茄醬,katakana,154,right,,ketchup
さけ,酒,さけ,日本酒、清酒,kanji,154,right,,酒
しゅ,酒,しゅ,酒、酒類,kanji,155,left,13,酒
しょよくりょう,食料,しょよくりょう,食品食物,kanji,155,left,15,食料
しょくりょよう,食糧,しょくりょよう,食糧、糧食,kanji,155,left,16,食糧
しんせん,新鮮,しんせん,新鮮、清新乾淨、新累,kanji,155,left,17,新鮮
スープ,スープ,すうぷ,湯,katakana,155,left,09,soup
ソース,ソース,そおす,醬汁,katakana,155,right,20,sauce
チップ,チップ,ちっぷ,小費、薄片,katakana,155,right,22,chip
ちゃ,茶,ちゃ,茶茶樹茶葉茶水、國茶在入杞如,kanji,155,right,23,茶
デザート,デザート,でざあと,甜點、餐後點心,katakana,155,right,24,desser
ドレッシング,ドレッシング,どれっしんぐ,調味料、挫汁、服装装飾,katakana,155,right,25,dressing
なま,生,なま,生的、直、的、不加修飾的、不熟練、不到火候,kanji,156,left,27,生
ファストフード,ファストフード,ふぁすとふうど,速食,katakana,156,left,29,fastfood
マヨネーズ,マヨネーズ,まよねえず,美旋滋、蛋黃鋒,katakana,156,left,32,mayonnaise
ミルク,ミルク,みるく,牛奶,katakana,156,right,,milk
ワイン,ワイン,わいん,葡萄酒、水果酒、洋酒,katakana,156,right,,wine
こぼす,溢す,こぼす,灑、漏、溢、落、牢騷、抱怨,kanji,157,left,03,溢す
たく,炊く,たく,點火、燒著、燃燒、煮飯、燒菜,kanji,157,left,04,炊く
たける,炊ける,たける,燒成飯、做成飯,kanji,157,left,05,炊ける
つよめる,強める,つよめる,加強、増強,kanji,157,left,06,強める
てい,低,てい,低、低程度,kanji,157,left,07,低
にえる,煮える,にえる,二煮熟、煮爛、水燒開、固體融化、發怒、非常氣憤,kanji,157,left,08,煮える
ひやす,冷やす,ひやす,使變涼、冰鎮、使冷靜、國冷藏庫冷宮,kanji,157,right,00,冷やす
むす,蒸す,むす,蒸熱、際,kanji,157,right,12,蒸す
ゆでる,茹でる,ゆでる,煮、混、圖上上茹蕊名,kanji,157,right,13,茹でる
わる,割る,わる,打、和劈開、用除法計算,kanji,157,right,15,割る
えり,襟,えり,衣領,kanji,158,left,o,襟
オーバーコート,オーバーコート,おおばあこおと,大衣、外套,katakana,158,left,02,overcoat
ジーンズ,ジーンズ,じいんず,牛他笠,katakana,158,left,03,jeans
ジャケット,ジャケット,じゃけっと,夾克、外套,katakana,158,left,94,jacket
せいふく,制服,せいふく,制服、制式服裝,kanji,158,right,,制服
そで,袖,そで,衣袖、十側抽履、雨、的廳房,kanji,158,right,,袖
ティーシャツ,ティーシャツ,てぃいしゃつ,T恤,katakana,158,right,,T-shirt
パンツ,パンツ,ぱんつ,內褲、短褲、運動短褲,katakana,158,right,,pants
パンプス,パンプス,ぱんぷす,女用的高跟皮鞋、淑女包鞋,katakana,159,left,11,pumps
ぴったり,ぴったり,ぴったり,正合適、緊密,hiragana,159,left,12,ぴったり
プラウス,プラウス,ぷらうす,罩衫、襯衫,katakana,159,left,13,blouse
ぼろぼろ,ぼろぼろ,ぼろぼろ,破爛不堪、零散,hiragana,159,left,14,ぼろぼろ
きがえ,着替え,きがえ,換衣服、換洗衣物,kanji,159,left,01,着替え
スカーフ,スカーフ,すかあふ,圍巾、披肩,katakana,159,right,03,scarf
ストッキング,ストッキング,すとっきんぐ,褲襪、長筒襪,katakana,159,right,04,stocking
スニーカー,スニーカー,すにいかあ,運動鞋,katakana,159,right,05,sneakers
ぞうり,草履,ぞうり,儿草履、草鞋,kanji,159,right,00,草履
ソックス,ソックス,そっくす,短襪,katakana,159,right,07,socke
バッグ,バッグ,ばっぐ,手提包,katakana,160,left,11,bag
ベルト,ベルト,べると,皮帶、傳送帶、地帶,katakana,160,right,,belt
ヘルメット,ヘルメット,へるめっと,安全帽、頭盔、鋼盔,katakana,160,right,,helmet
マフラー,マフラー,まふらあ,圍巾、滅音器,katakana,160,right,,muffler
しり,尻,しり,屁股、臀部、後方、後麵、末尾、最後、末端,kanji,161,right,09,尻
バランス,バランス,ばらんす,平衡、均衡、均等,katakana,161,right,08,balance
ひふ,皮膚,ひふ,皮膚、肌膚,kanji,161,right,09,皮膚
ほね,骨,ほね,骨頭、費力無的事人,kanji,162,left,01,骨
むける,剥ける,むける,剝落、脫落,kanji,162,left,12,剥ける
もむ,揉む,もむ,搓、採、捏、按摩、互相推擠、爭辯、鍾鍊、受磨練中,kanji,162,left,14,揉む
かぐ,嗅ぐ,かぐ,聞、嗅,kanji,162,right,,嗅ぐ
かみのけ,髪の毛,かみのけ,頭髮,kanji,162,right,,髪の毛
くちびる,唇,くちびる,嘴唇,kanji,162,right,,唇
だまる,黙る,だまる,沉默、不說話、不理、不間不問,kanji,163,left,oy,黙る
