id,reading,writing,normalizedReading,playReading,zh,level,script
n2_0001,あいまい,曖昧,あいまい,あいまい,模糊、不明確,N2,kanji
n2_0002,あきらか,明らか,あきらか,あきらか,明顯、清楚,N2,kanji
n2_0003,あっとう,圧倒,あっとう,あっとう,壓倒、遠勝,N2,kanji
n2_0004,いじょう,異常,いじょう,いじょう,異常、不尋常,N2,kanji
n2_0005,いっぽう,一方,いっぽう,いっぽう,一方面、另一方面,N2,kanji
n2_0006,いらい,依頼,いらい,いらい,委託、請求、拜託,N2,kanji
n2_0007,うんえい,運営,うんえい,うんえい,營運、經營,N2,kanji
n2_0009,おうぼ,応募,おうぼ,おうぼ,報名、應徵,N2,kanji
n2_0010,かいご,介護,かいご,かいご,照護、照顧,N2,kanji
n2_0011,かいさい,開催,かいさい,かいさい,舉辦、召開,N2,kanji
n2_0013,かくとく,獲得,かくとく,かくとく,獲得、取得,N2,kanji
n2_0014,かじょう,過剰,かじょう,かじょう,過度、過剩,N2,kanji
n2_0015,かのうせい,可能性,かのうせい,かのうせい,可能性,N2,kanji
n2_0016,かんり,管理,かんり,かんり,管理、控管,N2,kanji
n2_0017,きたい,期待,きたい,きたい,期待、期望,N2,kanji
n2_0018,きぼ,規模,きぼ,きぼ,規模,N2,kanji
n2_0019,きょうきゅう,供給,きょうきゅう,きょうきゅう,供給、供應,N2,kanji
n2_0021,けいこう,傾向,けいこう,けいこう,傾向、趨勢,N2,kanji
n2_0022,けんとう,検討,けんとう,けんとう,檢討、研議,N2,kanji
n2_0023,こうせい,構成,こうせい,こうせい,構成、組成,N2,kanji
n2_0024,こうりつ,効率,こうりつ,こうりつ,效率,N2,kanji
n2_0025,こよう,雇用,こよう,こよう,雇用、聘僱,N2,kanji
n2_0026,さいよう,採用,さいよう,さいよう,採用、錄用；採納,N2,kanji
n2_0027,さくげん,削減,さくげん,さくげん,削減、刪減,N2,kanji
n2_0028,しきゅう,支給,しきゅう,しきゅう,支給、發放,N2,kanji
n2_0029,しげん,資源,しげん,しげん,資源,N2,kanji
n2_0030,しじょう,市場,しじょう,しじょう,市場,N2,kanji
n2_0031,じっし,実施,じっし,じっし,實施、執行,N2,kanji
n2_0032,じゅよう,需要,じゅよう,じゅよう,需求,N2,kanji
n2_0033,しょうめい,証明,しょうめい,しょうめい,證明,N2,kanji
n2_0034,じょうしょう,上昇,じょうしょう,じょうしょう,上升、提升,N2,kanji
n2_0035,すいしん,推進,すいしん,すいしん,推動、推進,N2,kanji
n2_0036,せいげん,制限,せいげん,せいげん,限制,N2,kanji
n2_0038,せんたくし,選択肢,せんたくし,せんたくし,選項、選擇,N2,kanji
n2_0039,そしき,組織,そしき,そしき,組織,N2,kanji
n2_0040,たいしょう,対象,たいしょう,たいしょう,對象、目標,N2,kanji
n2_0041,たっせい,達成,たっせい,たっせい,達成、完成,N2,kanji
n2_0043,ちょうせい,調整,ちょうせい,ちょうせい,調整,N2,kanji
n2_0044,てきよう,適用,てきよう,てきよう,適用、套用,N2,kanji
n2_0045,とうし,投資,とうし,とうし,投資,N2,kanji
n2_0046,どうにゅう,導入,どうにゅう,どうにゅう,導入、引進,N2,kanji
n2_0047,はんえい,反映,はんえい,はんえい,反映、反應出,N2,kanji
n2_0048,ひょうげん,表現,ひょうげん,ひょうげん,表現、表達,N2,kanji
n2_0049,ふきゅう,普及,ふきゅう,ふきゅう,普及、推廣,N2,kanji
n2_0050,ぶんせき,分析,ぶんせき,ぶんせき,分析,N2,kanji
n2_0051,へんこう,変更,へんこう,へんこう,變更、更改,N2,kanji
n2_0052,ほしょう,保証,ほしょう,ほしょう,保證、擔保,N2,kanji
n2_0053,みなおし,見直し,みなおし,みなおし,重新檢視、重新評估,N2,kanji
n2_0054,ゆうせん,優先,ゆうせん,ゆうせん,優先,N2,kanji
n2_0055,ようきゅう,要求,ようきゅう,ようきゅう,要求、請求,N2,kanji
n2_0056,りろん,理論,りろん,りろん,理論,N2,kanji
n2_0057,あえて,敢えて,あえて,あえて,敢於、特地,N2,kanji
n2_0058,あくまで,飽くまで,あくまで,あくまで,到底、徹底；終究,N2,kanji
n2_0059,あやまり,誤り,あやまり,あやまり,錯誤、失誤,N2,kanji
n2_0060,あるいは,或いは,あるいは,あるいは,或者；也可能,N2,kanji
n2_0061,いっせい,一斉,いっせい,いっせい,一齊、同時,N2,kanji
n2_0062,いわば,いわば,いわば,いわば,可以說是、好比,N2,hiragana
n2_0063,おどろかす,驚かす,おどろかす,おどろかす,使驚訝、嚇到,N2,kanji
n2_0064,かいしゃく,解釈,かいしゃく,かいしゃく,解釋、理解方式,N2,kanji
n2_0065,かえって,却って,かえって,かえって,反而,N2,kanji
n2_0066,かねる,兼ねる,かねる,かねる,兼任、兼具；難以,N2,kanji
n2_0067,きずく,築く,きずく,きずく,建立、築起,N2,kanji
n2_0068,きにゅう,記入,きにゅう,きにゅう,填寫、登錄,N2,kanji
n2_0069,きふ,寄付,きふ,きふ,捐款、捐贈,N2,kanji
n2_0070,きゅうげき,急激,きゅうげき,きゅうげき,急遽、劇烈,N2,kanji
n2_0071,きょだい,巨大,きょだい,きょだい,巨大、龐大,N2,kanji
n2_0072,きわめて,極めて,きわめて,きわめて,極其、非常,N2,kanji
n2_0073,くうそう,空想,くうそう,くうそう,空想、幻想,N2,kanji
n2_0074,くぎる,区切る,くぎる,くぎる,區分、分段,N2,kanji
n2_0075,くみたてる,組み立てる,くみたてる,くみたてる,組裝、架構,N2,kanji
n2_0076,けいか,経過,けいか,けいか,經過、進展,N2,kanji
n2_0077,けっきょく,結局,けっきょく,けっきょく,結果、到頭來,N2,kanji
n2_0078,げんど,限度,げんど,げんど,限度、界限,N2,kanji
n2_0079,こうけん,貢献,こうけん,こうけん,貢獻,N2,kanji
n2_0080,こうひょう,公表,こうひょう,こうひょう,公開發表、公布,N2,kanji
n2_0081,こうりょ,考慮,こうりょ,こうりょ,考慮、納入考量,N2,kanji
n2_0082,ことに,殊に,ことに,ことに,特別、尤其,N2,kanji
n2_0083,このみ,好み,このみ,このみ,喜好、偏好,N2,kanji
n2_0084,さぎょう,作業,さぎょう,さぎょう,作業、工作,N2,kanji
n2_0085,しいん,死因,しいん,しいん,死因,N2,kanji
n2_0086,しかも,しかも,しかも,しかも,而且、並且,N2,hiragana
n2_0087,しせつ,施設,しせつ,しせつ,設施、機構,N2,kanji
n2_0088,しはい,支配,しはい,しはい,支配、掌控,N2,kanji
n2_0089,しはらう,支払う,しはらう,しはらう,支付、付款,N2,kanji
n2_0090,しゅうせい,修正,しゅうせい,しゅうせい,修正、修改,N2,kanji
n2_0091,しょうりゃく,省略,しょうりゃく,しょうりゃく,省略、略過,N2,kanji
n2_0092,しょくひん,食品,しょくひん,しょくひん,食品、食物,N2,kanji
n2_0093,しんらい,信頼,しんらい,しんらい,信賴、信任,N2,kanji
n2_0094,じたい,事態,じたい,じたい,事態、情況,N2,kanji
n2_0095,じつげん,実現,じつげん,じつげん,實現,N2,kanji
n2_0096,じゅうし,重視,じゅうし,じゅうし,重視,N2,kanji
n2_0097,すいじゅん,水準,すいじゅん,すいじゅん,水準、程度,N2,kanji
n2_0098,すいちょく,垂直,すいちょく,すいちょく,垂直,N2,kanji
n2_0099,せいさく,制作,せいさく,せいさく,製作、創作,N2,kanji
n2_0100,せいりつ,成立,せいりつ,せいりつ,成立,N2,kanji
n2_0101,せめて,せめて,せめて,せめて,至少、起碼,N2,hiragana
n2_0102,せんこう,専攻,せんこう,せんこう,專攻、主修,N2,kanji
n2_0103,たいざい,滞在,たいざい,たいざい,停留、居留,N2,kanji
n2_0104,たちば,立場,たちば,たちば,立場、處境,N2,kanji
n2_0105,たびたび,度々,たびたび,たびたび,屢次、再三,N2,kanji
n2_0106,ちえ,知恵,ちえ,ちえ,智慧、主意,N2,kanji
n2_0107,ちょうか,超過,ちょうか,ちょうか,超過,N2,kanji
n2_0108,ていこう,抵抗,ていこう,ていこう,抵抗、反抗,N2,kanji
n2_0109,ていしゅつ,提出,ていしゅつ,ていしゅつ,提出、繳交,N2,kanji
n2_0110,てきかく,的確,てきかく,てきかく,準確、恰當,N2,kanji
n2_0111,てじゅん,手順,てじゅん,てじゅん,步驟、程序,N2,kanji
n2_0112,どうやら,どうやら,どうやら,どうやら,看來、似乎,N2,hiragana
n2_0113,とりけす,取り消す,とりけす,とりけす,取消、撤銷,N2,kanji
n2_0114,どくじ,独自,どくじ,どくじ,獨自；獨特,N2,kanji
n2_0115,なんとか,何とか,なんとか,なんとか,想辦法；勉強,N2,kanji
n2_0116,なんとなく,何となく,なんとなく,なんとなく,總覺得、不知為何,N2,kanji
n2_0117,にゅうしゃ,入社,にゅうしゃ,にゅうしゃ,進公司、到職,N2,kanji
n2_0118,にんめい,任命,にんめい,にんめい,任命、指派,N2,kanji
n2_0119,はあくする,把握する,はあくする,はあくする,掌握、理解,N2,kanji
n2_0120,はいふ,配布,はいふ,はいふ,發放、分送,N2,kanji
n2_0121,はっせい,発生,はっせい,はっせい,發生、產生,N2,kanji
n2_0122,はってん,発展,はってん,はってん,發展,N2,kanji
n2_0123,はんばい,販売,はんばい,はんばい,販售、銷售,N2,kanji
n2_0124,ばくだい,莫大,ばくだい,ばくだい,龐大、鉅額,N2,kanji
n2_0125,ひかえる,控える,ひかえる,ひかえる,節制、避免；等待,N2,kanji
n2_0126,ひっしに,必死に,ひっしに,ひっしに,拚命地、全力地,N2,kanji
n2_0127,びみょう,微妙,びみょう,びみょう,微妙、難以判斷,N2,kanji
n2_0128,ふと,ふと,ふと,ふと,忽然、不經意地,N2,hiragana
n2_0129,ふりかえる,振り返る,ふりかえる,ふりかえる,回頭看、回顧,N2,kanji
n2_0130,ぶんかい,分解,ぶんかい,ぶんかい,分解、拆解,N2,kanji
n2_0131,ぶんるい,分類,ぶんるい,ぶんるい,分類,N2,kanji
n2_0132,ほぼ,ほぼ,ほぼ,ほぼ,幾乎、大致,N2,hiragana
n2_0133,みだれる,乱れる,みだれる,みだれる,混亂、紊亂,N2,kanji
n2_0134,むしする,無視する,むしする,むしする,無視、忽略,N2,kanji
n2_0135,めいかく,明確,めいかく,めいかく,明確、清楚,N2,kanji
n2_0136,めざす,目指す,めざす,めざす,以某事為目標、朝某處前進,N2,kanji
n2_0137,もっとも,最も,もっとも,もっとも,最、最為,N2,kanji
n2_0138,ゆうのう,有能,ゆうのう,ゆうのう,有能力、能幹,N2,kanji
n2_0139,ゆだん,油断,ゆだん,ゆだん,疏忽、大意,N2,kanji
n2_0140,ゆるす,許す,ゆるす,ゆるす,允許、原諒,N2,kanji
n2_0141,ようてん,要点,ようてん,ようてん,重點、要點,N2,kanji
n2_0142,よける,避ける,よける,よける,避開、閃避,N2,kanji
n2_0143,りっぱ,立派,りっぱ,りっぱ,出色、氣派,N2,kanji
n2_0144,りゅうつう,流通,りゅうつう,りゅうつう,流通、通行,N2,kanji
n2_0145,ろんり,論理,ろんり,ろんり,邏輯,N2,kanji
n2_0146,わざと,わざと,わざと,わざと,故意地,N2,hiragana
n2_0147,あきれる,呆れる,あきれる,あきれる,傻眼、吃驚,N2,kanji
n2_0148,あせる,焦る,あせる,あせる,焦急、著急,N2,kanji
n2_0149,あっか,悪化,あっか,あっか,惡化,N2,kanji
n2_0150,あつかい,扱い,あつかい,あつかい,處理方式、待遇,N2,kanji
n2_0151,あらす,荒らす,あらす,あらす,弄亂、破壞,N2,kanji
n2_0152,いくぶん,幾分,いくぶん,いくぶん,稍微、若干,N2,kanji
n2_0153,いぞん,依存,いぞん,いぞん,依賴、依存,N2,kanji
n2_0154,いつのまにか,いつの間にか,いつのまにか,いつのまにか,不知不覺間,N2,kanji
n2_0155,えんかつ,円滑,えんかつ,えんかつ,順利、圓融,N2,kanji
n2_0156,おいかける,追い掛ける,おいかける,おいかける,追趕、追逐,N2,kanji
n2_0157,おかす,犯す,おかす,おかす,犯下、違反,N2,kanji
n2_0158,おさまる,収まる,おさまる,おさまる,收進；平息,N2,kanji
n2_0159,おもいこむ,思い込む,おもいこむ,おもいこむ,深信、認定,N2,kanji
n2_0160,かかわり,関わり,かかわり,かかわり,關聯、牽涉,N2,kanji
n2_0161,かくしゅ,各種,かくしゅ,かくしゅ,各種、各類,N2,kanji
n2_0162,かつて,かつて,かつて,かつて,曾經、過去,N2,hiragana
n2_0163,かっぱつ,活発,かっぱつ,かっぱつ,活躍、熱絡,N2,kanji
n2_0164,きゅうくつ,窮屈,きゅうくつ,きゅうくつ,狹窄、拘束,N2,kanji
n2_0165,くじょう,苦情,くじょう,くじょう,抱怨、申訴,N2,kanji
n2_0166,くるしむ,苦しむ,くるしむ,くるしむ,痛苦、受苦,N2,kanji
n2_0167,こだわる,こだわる,こだわる,こだわる,拘泥、講究,N2,hiragana
n2_0168,さいなん,災難,さいなん,さいなん,災難,N2,kanji
n2_0169,さっする,察する,さっする,さっする,察覺、體諒,N2,kanji
n2_0170,しみる,染みる,しみる,しみる,滲入；刺痛；感動至深,N2,kanji
n2_0171,しゅうごう,集合,しゅうごう,しゅうごう,集合,N2,kanji
n2_0172,しゅっきん,出勤,しゅっきん,しゅっきん,上班、出勤,N2,kanji
n2_0173,しょうがくきん,奨学金,しょうがくきん,しょうがくきん,獎學金,N2,kanji
n2_0174,しょうとつ,衝突,しょうとつ,しょうとつ,衝突,N2,kanji
n2_0175,しょぞく,所属,しょぞく,しょぞく,所屬、隸屬,N2,kanji
n2_0176,しんぞう,心臓,しんぞう,しんぞう,心臟,N2,kanji
n2_0177,しんぱん,審判,しんぱん,しんぱん,裁判員、判定；審判,N2,kanji
n2_0178,じっかん,実感,じっかん,じっかん,真實感受、切身感受,N2,kanji
n2_0179,じっせき,実績,じっせき,じっせき,實績、成果,N2,kanji
n2_0180,じゅうじつ,充実,じゅうじつ,じゅうじつ,充實、完善,N2,kanji
n2_0181,せいかい,正解,せいかい,せいかい,正確答案,N2,kanji
n2_0182,せいぜい,精々,せいぜい,せいぜい,頂多、盡量,N2,kanji
n2_0183,せっとく,説得,せっとく,せっとく,說服,N2,kanji
n2_0184,たくわえる,蓄える,たくわえる,たくわえる,儲備、積蓄,N2,kanji
n2_0185,たとえる,例える,たとえる,たとえる,比喻、舉例說明,N2,kanji
n2_0186,ためし,試し,ためし,ためし,嘗試、試驗,N2,kanji
n2_0187,つまずく,躓く,つまずく,つまずく,絆倒、受挫,N2,kanji
n2_0188,つりあう,釣り合う,つりあう,つりあう,平衡、相稱,N2,kanji
n2_0189,てきど,適度,てきど,てきど,適度,N2,kanji
n2_0190,ととのう,整う,ととのう,ととのう,整齊；準備就緒,N2,kanji
n2_0191,ともなう,伴う,ともなう,ともなう,伴隨、附帶,N2,kanji
n2_0192,とらえる,捉える,とらえる,とらえる,捕捉、理解掌握,N2,kanji
n2_0193,とりもどす,取り戻す,とりもどす,とりもどす,取回、恢復,N2,kanji
n2_0194,なぐさめる,慰める,なぐさめる,なぐさめる,安慰,N2,kanji
n2_0195,にゅうじょう,入場,にゅうじょう,にゅうじょう,入場、進場,N2,kanji
n2_0196,にんしん,妊娠,にんしん,にんしん,懷孕,N2,kanji
n2_0197,のりこえる,乗り越える,のりこえる,のりこえる,跨越、克服,N2,kanji
