id,reading,writing,normalizedReading,playReading,zh,level,script
n5_egg_0001,にじゅう,二十,にじゅう,にじゅう,二十,N5,kanji
n5_egg_0002,いちにち,一日,いちにち,いちにち,一天;一整天;某一天,N5,kanji
n5_egg_0003,ついたち,一日,ついたち,ついたち,"一號,一個月的第一天",N5,kanji
n5_egg_0004,ふつか,二日,ふつか,ふつか,"二號,二日;兩天",N5,kanji
n5_egg_0005,みっか,三日,みっか,みっか,"三號,三日;三天",N5,kanji
n5_egg_0006,よっか,四日,よっか,よっか,四天;四號,N5,kanji
n5_egg_0007,いつか,五日,いつか,いつか,五號;五天,N5,kanji
n5_egg_0008,むいか,六日,むいか,むいか,六天;六號,N5,kanji
n5_egg_0009,なのか,七日,なのか,なのか,七號;七天,N5,kanji
n5_egg_0010,ようか,八日,ようか,ようか,八天;八號,N5,kanji
n5_egg_0011,ここのか,九日,ここのか,ここのか,九號;九天,N5,kanji
n5_egg_0012,とおか,十日,とおか,とおか,十號;十天,N5,kanji
n5_egg_0013,はつか,二十日,はつか,はつか,"二十號,二十日;二十天",N5,kanji
n5_egg_0014,うん,うん,うん,うん,"是,是的",N5,hiragana
n5_egg_0015,ええ,ええ,ええ,ええ,(表示肯定、同意)嗯、欸;(表示疑問)啊?;(表示遲疑)嗯,N5,hiragana
n5_egg_0016,どういたしまして,どういたしまして,どういたしまして,どういたしまして,不客氣,N5,hiragana
n5_egg_0017,いらっしゃいませ,いらっしゃいませ,いらっしゃいませ,いらっしゃいませ,歡迎光臨,N5,hiragana
n5_egg_0018,こっち,こっち,こっち,こっち,這邊;這一方;我們這邊,N5,hiragana
n5_egg_0019,あっち,あっち,あっち,あっち,那邊;那一方,N5,hiragana
n5_egg_0020,どっち,どっち,どっち,どっち,哪邊;哪一個;哪一方,N5,hiragana
n5_egg_0021,こんな,こんな,こんな,こんな,"這樣,這種",N5,hiragana
n5_egg_0022,そんな,そんな,そんな,そんな,那樣;那種,N5,hiragana
n5_egg_0023,どんな,どんな,どんな,どんな,"什麼樣的,哪種",N5,hiragana
n5_egg_0024,ああ,ああ,ああ,ああ,"(悲傷、快樂或驚訝時)啊,哎呀;(答應時)啊",N5,hiragana
n5_egg_0025,こういう,こういう,こういう,こういう,"這種,這樣",N5,hiragana
n5_egg_0026,どういう,どういう,どういう,どういう,"什麼樣的,怎麼樣的",N5,hiragana
n5_egg_0027,どれぐらい,どれぐらい,どれぐらい,どれぐらい,多少,N5,hiragana
n5_egg_0028,なんにち,何日,なんにち,なんにち,"多少天,幾天;幾號,哪一天",N5,kanji
n5_egg_0029,なんにん,何人,なんにん,なんにん,多少人;幾個人,N5,kanji
n5_egg_0030,なんねん,何年,なんねん,なんねん,"多少年,幾年;哪一年",N5,kanji
n5_egg_0031,なんかい,何回,なんかい,なんかい,"幾次,多少次",N5,kanji
n5_egg_0032,なんど,何度,なんど,なんど,"多少次,幾次;多少度,幾度",N5,kanji
n5_egg_0033,きいろい,黄色い,きいろい,きいろい,黃色的,N5,kanji
n5_egg_0034,おじ,おじ,おじ,おじ,(伯父)父母的哥哥;(叔父)父母的弟弟,N5,hiragana
n5_egg_0035,おじさん,おじさん,おじさん,おじさん,"叔叔,伯伯;對其他成年男性的暱稱",N5,hiragana
n5_egg_0036,おば,おば,おば,おば,(伯母)父母的姊姊;(叔母)父母的妹妹,N5,hiragana
n5_egg_0037,おばさん,おばさん,おばさん,おばさん,"嬸嬸,阿姨;對其他成年女性的暱稱",N5,hiragana
n5_egg_0038,おじいさん,おじいさん,おじいさん,おじいさん,祖父;外公;對年長男性的暱稱,N5,hiragana
n5_egg_0039,おばあさん,おばあさん,おばあさん,おばあさん,祖母;外婆;對年長女性的暱稱,N5,hiragana
n5_egg_0040,ちゅうがくせい,中学生,ちゅうがくせい,ちゅうがくせい,國中生,N5,kanji
n5_egg_0041,ちゅうごく,中国,ちゅうごく,ちゅうごく,中國,N5,kanji
n5_egg_0042,ちゅうごくご,中国語,ちゅうごくご,ちゅうごくご,"中文,漢語",N5,kanji
n5_egg_0043,よこ,横,よこ,よこ,橫向;旁邊;側面,N5,kanji
n5_egg_0044,うしろ,後ろ,うしろ,うしろ,後面;背後,N5,kanji
