id,reading,writing,normalizedReading,playReading,zh,level,script
n2_egg_0001,で,で,で,で,(催促對方往下說)那麼,N2,hiragana
n2_egg_0002,より,より(副),より,より,"更加,進一步",N2,kanji
n2_egg_0003,より,寄り,より,より,"靠近......,偏向......",N2,kanji
n2_egg_0004,もと,元,もと,もと,"本源,以前;(基)根本,根據;(素)材料",N2,kanji
n2_egg_0005,もの,者,もの,もの,人,N2,kanji
n2_egg_0006,あいつ,あいつ,あいつ,あいつ,"(貶義)那個傢伙,那小子;那東西",N2,hiragana
n2_egg_0007,こいつ,こいつ,こいつ,こいつ,"這小子,這傢伙;這東西",N2,hiragana
n2_egg_0008,さえ,さえ,さえ,さえ,"連,甚至;除了......外,不僅......而且;只要......(就......)",N2,hiragana
n2_egg_0009,そもそも,そもそも,そもそも,そもそも,"原本,最初;說來......;到底",N2,hiragana
n2_egg_0010,すら,すら,すら,すら,"連,甚至,尚且",N2,hiragana
n2_egg_0011,かれら,彼ら,かれら,かれら,"他們,那些人",N2,kanji
n2_egg_0012,かみ,神,かみ,かみ,"神,上帝",N2,kanji
n2_egg_0013,とりあえず,とりあえず,とりあえず,とりあえず,"總之,暫時,姑且",N2,hiragana
n2_egg_0014,あら,あら,あら,あら,"(表示驚訝,女性用語)哎呀",N2,hiragana
n2_egg_0015,きる,きる,きる,きる,......完,N2,hiragana
n2_egg_0016,すでに,すでに,すでに,すでに,已經,N2,hiragana
n2_egg_0017,やってくる,やってくる,やってくる,やってくる,"朝這邊過來,接近",N2,hiragana
n2_egg_0018,おそう,襲う,おそう,おそう,"襲擊,攻擊",N2,kanji
n2_egg_0019,わざわざ,わざわざ,わざわざ,わざわざ,特意;故意,N2,hiragana
n2_egg_0020,さすが,さすが,さすが,さすが,真不愧是;不過還是,N2,hiragana
n2_egg_0021,むし,無視,むし,むし,"無視,忽視",N2,kanji
n2_egg_0022,いっきに,一気に,いっきに,いっきに,一口氣;一下子,N2,kanji
n2_egg_0023,そのもの,そのもの,そのもの,そのもの,"(強調其前面的詞)......本身,非常......",N2,hiragana
n2_egg_0024,さる,去る,さる,さる,離開;時間流逝;消除,N2,kanji
n2_egg_0025,たえる,耐える,たえる,たえる,忍受;經得起,N2,kanji
n2_egg_0026,なにより,何より,なにより,なにより,"比什麼(都好),最",N2,kanji
n2_egg_0027,とう,問う,とう,とう,"詢問;追究責任,問罪;(不)當作問題",N2,kanji
n2_egg_0028,やく,役,やく,やく,職務;角色,N2,kanji
n2_egg_0029,ひび,日々,ひび,ひび,"天天,每天",N2,kanji
n2_egg_0030,うんめい,運命,うんめい,うんめい,命運,N2,kanji
n2_egg_0031,にどと,二度と,にどと,にどと,再(也不)......,N2,kanji
n2_egg_0032,いっぽ,一歩,いっぽ,いっぽ,一步;一個階段,N2,kanji
n2_egg_0033,そのうち,そのうち,そのうち,そのうち,"不久,過幾天",N2,hiragana
n2_egg_0034,いわゆる,いわゆる,いわゆる,いわゆる,所謂的,N2,hiragana
n2_egg_0035,さい,際,さい,さい,"時候,之際",N2,kanji
n2_egg_0036,たもつ,保つ,たもつ,たもつ,維持,N2,kanji
n2_egg_0037,しせん,視線,しせん,しせん,視線,N2,kanji
n2_egg_0038,およぶ,及ぶ,およぶ,およぶ,"波及,持續;達到;比得上",N2,kanji
